Id	Text	Date	Source	RetweetCount
1002368321725972480	RT @MumbaiLiveNews: About a million bank employees go on a two-day strike.  #BankStrike  https://t.co/1w0drO3APo	2018-06-01 01:56:45	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1
1002367567510503424	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-06-01 01:53:45	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	112
1002367543422607360	RT @sreedharred: It's our humble request from Common Man of India, u all people not even concentrating on bank nd postal employees strike.…	2018-06-01 01:53:40	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	4
1002365289160462336	Union representatives have claimed that around one million bank employees across India are on strike to demand bett… https://t.co/FHYamnSPkT	2018-06-01 01:44:42	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	0
1002356117492514816	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-06-01 01:08:15	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	112
1002353880703762432	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-06-01 00:59:22	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	112
1002346367526756353	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-06-01 00:29:31	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	112
1002345988332257280	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-06-01 00:28:00	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	112
1002337298229448705	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 23:53:29	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002336516176273408	My mans went from selling CDs on Canada street corners looking like a Halal Guy on strike to $100Ms in the bank and… https://t.co/xvZXRR2Dvk	2018-05-31 23:50:22	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0
1002335692222091264	RT @WrigleyRapport: 3 things We can guarantee:  1. Life goes by too fast 2. Fans won’t strike out with Gold Coast Bank.  3.  DON’T RUN ON S…	2018-05-31 23:47:06	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	3
1002312415847968768	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 22:14:36	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002304377065861121	Bank- we will not increase your pay Employees *Planning strike*-  Just वेतन n watch	2018-05-31 21:42:40	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0
1002303862282379265	RT @ManishRajora: @thesuniljain @arunjaitley @narendramodi @PiyushGoyal Do you know @HDFC_Bank and other private banks have minimum balance…	2018-05-31 21:40:37	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1
1002299570615799808	Bank strike: More participate on last day, services hit all over India.. https://t.co/LrLxReKVkj	2018-05-31 21:23:34	"<a href=""http://NewsBoss.in"" rel=""nofollow"">NewsBoss.in</a>"	0
1002282574608089089	Bank strike: More participate on last day, services hit all over India https://t.co/UUapEQuVIp https://t.co/RdCVhZrqBu	2018-05-31 20:16:01	"<a href=""https://www.business-standard.com"" rel=""nofollow"">bsindia</a>"	1
1002279313629241344	RT @IndianExpress: Bank strike: ATMs run dry, cheques remain uncleared; services likely to resume tomorrow https://t.co/XR3S4C8clw	2018-05-31 20:03:04	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	11
1002268357956063232	@NPCI_NPCI @UPI_NPCI @FinMinIndia @PMOIndia what is further needed is a small change contactless card that will wor… https://t.co/0W8DbcsYUG	2018-05-31 19:19:32	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0
1002268273361149952	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-05-31 19:19:12	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	112
1002265608044666880	Employees of a big bank in Norway are on strike, resulting in bank accounts being temporarily shut down -… https://t.co/dFd3HIRyvf	2018-05-31 19:08:36	"<a href=""http://bitcoin-wall.com/"" rel=""nofollow"">bitcoin-wall</a>"	0
1002260467442638848	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 18:48:11	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002258908285685760	RT @CPIM_WESTBENGAL: Bank employees participating in big demo all over India today in support of nationwide bank strike at the call of UFBU…	2018-05-31 18:41:59	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	31
1002258491996811264	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-05-31 18:40:20	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	112
1002257818978840576	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 18:37:39	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	391
1002256322593722369	RT @Spireship: It will have to be a General Strike. It worked in England because transportation ground to a halt, bank tellers didn't show…	2018-05-31 18:31:42	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	2
1002251771576799233	RT @IndianExpress: SEE PHOTOS | Two-day bank strike: As services are hit across India, unions call it ‘total success’ https://t.co/LLT3Db3e…	2018-05-31 18:13:37	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	5
1002248786473873408	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 18:01:46	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002247922145259520	RT @ndtv: Two-day bank strike leaves 80 lakh cheques uncleared https://t.co/mFUUR40gkr https://t.co/5mDW06Lmi7	2018-05-31 17:58:20	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	11
1002247835901804544	RT @ndtv: Two-day bank strike leaves 80 lakh cheques uncleared https://t.co/mFUUR40gkr https://t.co/5mDW06Lmi7	2018-05-31 17:57:59	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	11
1002246189050458113	New post (Employees of a big bank in Norway are on strike, resulting in bank accounts being temporarily shut down)… https://t.co/sK7y6JaBCt	2018-05-31 17:51:26	"<a href=""https://kryptous.com"" rel=""nofollow"">Kryptous</a>"	0
1002246155953147905	New post (Employees of a big bank in Norway are on strike, resulting in bank accounts being temporarily shut down)… https://t.co/6D9oc1bEEM	2018-05-31 17:51:19	"<a href=""https://1crypto.org"" rel=""nofollow"">1 Crypto</a>"	0
1002245533287747584	"""The strikers are unhappy with a proposed two percent wage rise which they have been offered, noting that it is wel… https://t.co/e4kYlz8AyS"	2018-05-31 17:48:50	"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>"	3
1002245473045008384	RT @ZeeNews: Bank unions claim two-day strike a success, IBA to be blamed for mess https://t.co/dzobeGMtSW https://t.co/NAYjqcgU49	2018-05-31 17:48:36	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	8
